Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 00:00:00-04,ND0073,N,56,70.68,1.60%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:05:00-04,ND0073,N,42,69.12,1.21%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:10:00-04,ND0073,N,45,68.43,1.41%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:15:00-04,ND0073,N,47,68.33,1.49%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:20:00-04,ND0073,N,37,67.88,1.10%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:25:00-04,ND0073,N,51,65.84,1.80%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:30:00-04,ND0073,N,33,71.41,0.96%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:35:00-04,ND0073,N,42,69.31,1.41%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:40:00-04,ND0073,N,32,64.15,1.06%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:45:00-04,ND0073,N,44,67.88,1.41%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:50:00-04,ND0073,N,30,68.55,0.99%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 00:55:00-04,ND0073,N,27,67.44,0.88%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:00:00-04,ND0073,N,28,62.34,1.04%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:05:00-04,ND0073,N,30,71.65,0.92%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:10:00-04,ND0073,N,15,66.17,0.63%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:15:00-04,ND0073,N,24,67.79,0.95%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:20:00-04,ND0073,N,28,65.88,1.13%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:25:00-04,ND0073,N,16,64.39,1.00%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:30:00-04,ND0073,N,11,62.47,0.43%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:35:00-04,ND0073,N,15,62.79,0.50%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:40:00-04,ND0073,N,17,65.06,0.58%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:45:00-04,ND0073,N,18,69.98,0.67%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:50:00-04,ND0073,N,17,65.98,0.96%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 01:55:00-04,ND0073,N,19,69.61,0.51%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:00:00-04,ND0073,N,21,66.47,1.19%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:05:00-04,ND0073,N,23,70.58,0.78%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:10:00-04,ND0073,N,16,75.72,0.50%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:15:00-04,ND0073,N,16,68.36,0.54%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:20:00-04,ND0073,N,17,62.14,1.07%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:25:00-04,ND0073,N,7,70.45,0.38%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:30:00-04,ND0073,N,11,68.55,0.41%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:35:00-04,ND0073,N,16,70.03,0.51%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:40:00-04,ND0073,N,12,64.49,0.53%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:45:00-04,ND0073,N,17,66.78,0.77%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:50:00-04,ND0073,N,14,64.50,0.86%,2,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
2019-08-01 02:55:00-04,ND0073,N,10,68.98,0.30%,3,ND0073 - I95 AT CHRISTIANA RIVER,8942.1,2015-05-18 13:04:14-04,2021-02-22 06:48:58-05
