Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 00:00:00-04,ND0118,N,43,71.15,1.58%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:05:00-04,ND0118,N,47,70.63,1.78%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:10:00-04,ND0118,N,34,70.80,0.92%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:15:00-04,ND0118,N,39,70.07,1.49%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:20:00-04,ND0118,N,33,74.30,1.05%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:25:00-04,ND0118,N,46,69.96,1.51%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:30:00-04,ND0118,N,32,71.55,1.07%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:35:00-04,ND0118,N,39,71.12,1.48%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:40:00-04,ND0118,N,40,70.40,1.44%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:45:00-04,ND0118,N,41,71.58,1.41%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:50:00-04,ND0118,N,32,71.97,1.15%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 00:55:00-04,ND0118,N,29,72.70,1.17%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:00:00-04,ND0118,N,23,70.40,0.89%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:05:00-04,ND0118,N,19,69.13,0.56%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:10:00-04,ND0118,N,35,72.50,1.11%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:15:00-04,ND0118,N,27,70.85,0.98%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:20:00-04,ND0118,N,19,70.39,0.76%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:25:00-04,ND0118,N,26,71.89,0.83%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:30:00-04,ND0118,N,24,68.85,1.19%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:35:00-04,ND0118,N,23,68.83,0.66%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:40:00-04,ND0118,N,28,71.11,1.03%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:45:00-04,ND0118,N,23,71.98,0.77%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:50:00-04,ND0118,N,14,70.06,0.59%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 01:55:00-04,ND0118,N,22,69.72,0.98%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:00:00-04,ND0118,N,27,69.89,0.84%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:05:00-04,ND0118,N,20,63.00,0.99%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:10:00-04,ND0118,N,23,70.83,0.76%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:15:00-04,ND0118,N,18,71.26,0.68%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:20:00-04,ND0118,N,22,72.93,0.68%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:25:00-04,ND0118,N,32,73.37,1.13%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:30:00-04,ND0118,N,28,71.08,1.02%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:35:00-04,ND0118,N,29,66.47,1.11%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:40:00-04,ND0118,N,21,70.73,0.77%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:45:00-04,ND0118,N,18,73.49,0.66%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:50:00-04,ND0118,N,22,71.44,0.81%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 02:55:00-04,ND0118,N,21,70.65,0.90%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:00:00-04,ND0118,N,17,70.13,0.81%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:05:00-04,ND0118,N,27,69.41,1.24%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:10:00-04,ND0118,N,21,71.39,0.79%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:15:00-04,ND0118,N,22,72.64,0.85%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:20:00-04,ND0118,N,32,69.22,1.46%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:25:00-04,ND0118,N,37,71.20,1.32%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:30:00-04,ND0118,N,38,74.21,1.30%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:35:00-04,ND0118,N,40,74.50,1.34%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:40:00-04,ND0118,N,43,74.46,1.32%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:45:00-04,ND0118,N,39,71.66,1.46%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:50:00-04,ND0118,N,37,72.65,1.27%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 03:55:00-04,ND0118,N,32,73.20,1.42%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:00:00-04,ND0118,N,47,72.05,1.60%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:05:00-04,ND0118,N,28,72.10,1.09%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:10:00-04,ND0118,N,47,72.54,1.79%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:15:00-04,ND0118,N,57,73.21,1.96%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:20:00-04,ND0118,N,48,71.41,2.01%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:25:00-04,ND0118,N,66,73.71,2.15%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:30:00-04,ND0118,N,64,74.95,2.31%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:35:00-04,ND0118,N,84,74.77,2.60%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:40:00-04,ND0118,N,87,74.39,2.94%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:45:00-04,ND0118,N,80,72.96,2.88%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:50:00-04,ND0118,N,78,73.78,2.56%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 04:55:00-04,ND0118,N,90,74.86,2.88%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 05:00:00-04,ND0118,N,89,75.21,2.51%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 05:05:00-04,ND0118,N,129,75.01,4.33%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 05:10:00-04,ND0118,N,126,75.21,3.79%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 05:15:00-04,ND0118,N,130,74.97,4.00%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
2019-08-01 05:20:00-04,ND0118,N,131,75.61,3.71%,3,ND0118 - I495 AT ROGERS RD,8970.1,2015-05-18 13:04:31-04,
