Date,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
2019-08-01 00:00:00-04,ND0135,N,33,69.11,1.02%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:05:00-04,ND0135,N,39,69.27,1.56%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:10:00-04,ND0135,N,46,65.80,1.68%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:15:00-04,ND0135,N,34,67.43,1.05%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:20:00-04,ND0135,N,36,70.22,1.34%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:25:00-04,ND0135,N,38,71.00,1.30%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:30:00-04,ND0135,N,31,67.11,0.99%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:35:00-04,ND0135,N,31,66.94,1.20%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:40:00-04,ND0135,N,38,67.88,1.64%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:45:00-04,ND0135,N,37,66.95,1.20%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:50:00-04,ND0135,N,48,67.42,2.03%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 00:55:00-04,ND0135,N,29,69.12,1.05%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:00:00-04,ND0135,N,24,64.69,1.03%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:05:00-04,ND0135,N,24,68.31,0.80%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:10:00-04,ND0135,N,21,69.97,0.65%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:15:00-04,ND0135,N,31,69.34,1.06%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:20:00-04,ND0135,N,22,68.79,0.97%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:25:00-04,ND0135,N,20,68.22,0.81%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:30:00-04,ND0135,N,21,65.85,1.25%,2,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:35:00-04,ND0135,N,33,66.92,1.51%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
2019-08-01 01:40:00-04,ND0135,N,21,67.67,0.87%,3,ND0135 - I495 AT LORE AVE,8987.1,2015-05-18 13:04:41-04,
