,Date,Unnamed: 0,Permit,Dir,Volume,Avg Speed,Occupancy %,Record Count,Full Name,Device ID,Created,Retired
0,2019-08-01 00:00:00-04,0.0,ND0114,S,48.0,63.46,2.11%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
1,2019-08-01 00:05:00-04,1.0,ND0114,S,34.0,62.59,1.67%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
2,2019-08-01 00:10:00-04,2.0,ND0114,S,23.0,62.02,1.07%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
3,2019-08-01 00:15:00-04,3.0,ND0114,S,30.0,65.87,1.30%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
4,2019-08-01 00:20:00-04,4.0,ND0114,S,18.0,60.57,0.90%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
5,2019-08-01 00:25:00-04,5.0,ND0114,S,20.0,63.95,0.97%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
6,2019-08-01 00:30:00-04,6.0,ND0114,S,19.0,60.78,0.92%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
7,2019-08-01 00:35:00-04,7.0,ND0114,S,25.0,61.96,1.18%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
8,2019-08-01 00:40:00-04,8.0,ND0114,S,22.0,65.49,0.94%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
9,2019-08-01 00:45:00-04,9.0,ND0114,S,27.0,63.77,1.31%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
10,2019-08-01 00:50:00-04,10.0,ND0114,S,28.0,62.88,1.60%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
11,2019-08-01 00:55:00-04,11.0,ND0114,S,26.0,62.28,1.31%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
12,2019-08-01 01:00:00-04,12.0,ND0114,S,14.0,65.61,0.68%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
13,2019-08-01 01:05:00-04,13.0,ND0114,S,28.0,56.87,1.86%,2.0,ND0114 - I95 AT EXIT 8 US202,10125.5,2016-02-19 12:00:54-05,
