device_id,Name,Dir,ID,Created,Retired,lat,lon
ND0073,ND0073 - I95 AT CHRISTIANA RIVER {SOLAR},N,17835.5,2022-10-31 08:04:48-04,,39.719262,-75.579266
ND0075,ND0075 - I95 AT FRAWLEY STADIUM,N,17838.5,2022-10-31 08:34:04-04,,39.730095,-75.566939
ND0078,ND0078 - I495 1 M SOUTH OF US13,N,8946.5,2015-05-18 13:04:16-04,,39.715469,-75.573616
ND0080,ND0080 - I95 AT 6TH STREET {SOLAR},N,17842.5,2022-10-31 09:40:44-04,,39.745404,-75.559309
ND0090,ND0090 - I95 AT STADIUM DRIVE {SOLAR},N,17844.5,2022-10-31 10:00:20-04,,39.759117,-75.551981
ND0094,ND0094 - I95 AT CARR ROAD,N,8961.5,2015-05-18 13:04:26-04,,39.778398,-75.509914
ND0097,ND0097 - I95 AT STONEY CREEK,N,8964.5,2015-05-18 13:04:27-04,,39.786844,-75.496582
ND0100,ND0100 - I95 SOUTH OF HARVEY RD,N,8966.5,2015-05-18 13:04:29-04,,39.800065,-75.484335
ND0104,ND0104 - I95 AT E AVON DR,N,8968.5,2015-05-18 13:04:30-04,,39.80689,-75.463758
ND0105,ND0105 - I95 AT NAAMANS RD,N,8969.5,2015-05-18 13:04:31-04,,39.812246,-75.456768
ND0114,ND0114 - I95 AT EXIT 8 US202,N,10125.5,2016-02-19 12:00:54-05,,39.768012,-75.537025
ND0118,ND0118 - I495 AT ROGERS RD,N,8970.5,2015-05-18 13:04:31-04,,39.716839,-75.554156
ND0123,ND0123 - I495 NORTH OF TERMINAL AVE,N,8975.5,2015-05-18 13:04:34-04,,39.720764,-75.53978
ND0125,ND0125 - I495 S/O 12TH STREET {SOLAR},N,14455.5,2020-04-25 12:42:53-04,,39.733794,-75.522876
ND0128,ND0128 - I495 1/2 M NORTH OF 12TH ST,N,8980.5,2015-05-18 13:04:37-04,,39.741538,-75.516601
ND0135,ND0135 - I495 AT LORE AVE,N,8987.5,2015-05-18 13:04:41-04,,39.756733,-75.493077
ND0137,ND0137 - I495 AT BELLEVUE RD,N,8989.5,2015-05-18 13:04:42-04,,39.770139,-75.484159
ND0139,ND0139 - I495 AND HOLLY OAK DR,N,8990.5,2015-05-18 13:04:43-04,,39.782224,-75.474572
ND0141,ND0141 - I495 AND YALE AVE,N,8992.5,2015-05-18 13:04:44-04,,39.792843,-75.461357
ND0091,ND0091 - I95 AT TALLEY ROAD,N,8959.5,2015-05-18 13:04:24-04,,39.774604,-75.52857
