,ID,Model,R1-R23,R24-R48,R49-R72,R73-R96,R97-R120,R121-R144,R145-R168,R169-R192,R193-R216,R217-R240,R241-R250,Surpass Percentage
0,401816_S,Central,4.09,15.99,5.26,16.01,16.32,2.65,1.97,1.64,3.0,5.6,6.29,100.00%
1,401816_S,NaiveFL,3.84,5.29,2.34,4.97,5.49,1.46,1.61,1.4,1.55,2.78,2.1,27.27%
2,401816_S,r-NaiveFL,3.51,7.27,2.64,6.11,7.14,2.12,2.12,1.23,2.24,3.09,2.39,63.64%
3,401816_S,NeighborFL,3.16,8.07,2.6,6.09,7.18,1.77,1.41,1.37,2.23,2.93,2.68,N/A
4,401817_N,Central,2.93,7.8,9.18,4.73,4.25,4.62,0.27,1.16,0.46,10.56,10.06,81.82%
5,401817_N,NaiveFL,3.01,4.05,6.28,4.57,4.15,3.91,1.65,2.29,0.94,5.9,12.34,90.91%
6,401817_N,r-NaiveFL,2.53,3.7,6.39,4.39,3.98,2.86,1.97,3.22,0.93,6.69,10.92,90.91%
7,401817_N,NeighborFL,1.5,3.69,5.85,5.35,3.66,2.12,0.5,0.6,0.33,4.18,5.81,N/A
8,400911_N,Central,2.9,3.58,29.57,17.39,11.78,4.54,1.0,0.64,3.0,34.69,23.37,72.73%
9,400911_N,NaiveFL,3.41,4.47,4.75,7.81,6.44,6.19,1.51,0.89,2.21,8.22,14.25,90.91%
10,400911_N,r-NaiveFL,2.85,3.64,5.11,8.39,6.24,5.41,1.23,0.76,1.96,10.5,16.41,81.82%
11,400911_N,NeighborFL,2.54,3.4,4.15,6.15,5.48,5.3,1.09,0.77,2.37,5.65,11.32,N/A
12,400863_N,Central,3.53,4.71,25.01,16.86,26.69,12.78,1.68,1.34,5.76,46.3,88.34,72.73%
13,400863_N,NaiveFL,3.97,5.85,13.23,15.94,17.02,11.71,2.4,1.83,5.12,32.24,69.31,81.82%
14,400863_N,r-NaiveFL,3.98,5.87,12.87,16.11,15.75,11.8,2.17,1.65,5.16,38.77,67.47,72.73%
15,400863_N,NeighborFL,3.17,5.24,12.61,15.67,16.81,12.29,1.86,1.49,5.44,32.04,63.8,N/A
16,409526_N,Central,2.66,3.54,12.62,2.53,6.88,1.34,0.97,1.33,1.62,20.18,8.36,63.64%
17,409526_N,NaiveFL,2.96,3.66,8.27,3.35,4.14,1.85,1.04,1.02,2.1,7.25,7.84,72.73%
18,409526_N,r-NaiveFL,2.47,3.45,8.23,3.09,3.72,1.54,0.82,0.91,1.81,7.77,7.27,72.73%
19,409526_N,NeighborFL,2.11,3.89,8.22,3.06,3.46,1.15,0.76,0.65,1.63,9.5,14.76,N/A
20,409529_S,Central,2.1,17.85,11.85,13.56,13.63,2.01,1.25,1.27,1.42,24.28,2.38,54.55%
21,409529_S,NaiveFL,4.08,4.48,4.61,5.97,6.93,3.09,3.84,3.73,4.09,5.14,4.95,72.73%
22,409529_S,r-NaiveFL,3.83,8.46,4.43,6.56,7.71,3.04,3.97,3.96,4.41,5.72,4.11,72.73%
23,409529_S,NeighborFL,1.56,6.75,3.97,6.86,6.92,3.19,3.34,2.97,3.43,3.33,4.44,N/A
24,409525_N,Central,1.54,9.25,15.74,5.42,7.99,1.59,1.83,1.92,2.2,31.09,14.91,45.45%
25,409525_N,NaiveFL,5.85,7.97,10.36,5.98,6.49,2.55,4.36,5.64,3.41,12.02,7.04,90.91%
26,409525_N,r-NaiveFL,5.98,8.48,10.51,6.1,6.47,2.56,4.22,5.32,3.47,12.27,7.21,90.91%
27,409525_N,NeighborFL,2.13,5.11,10.69,5.48,6.15,2.3,3.99,5.13,3.38,11.75,6.6,N/A
28,409528_S,Central,2.93,13.79,10.09,9.15,32.46,4.29,1.93,4.49,1.87,43.02,3.17,63.64%
29,409528_S,NaiveFL,3.09,6.23,6.97,7.79,13.57,2.33,4.24,6.59,1.91,6.37,1.75,54.55%
30,409528_S,r-NaiveFL,3.14,7.28,6.76,7.46,13.56,2.41,4.05,6.13,1.95,6.0,1.78,45.45%
31,409528_S,NeighborFL,3.36,10.45,6.72,7.92,13.39,2.24,3.97,5.65,2.05,6.06,1.91,N/A
32,402364_N,Central,2.07,2.41,33.65,65.49,33.66,4.19,0.84,0.83,1.38,23.51,10.56,72.73%
33,402364_N,NaiveFL,2.0,4.94,5.45,6.74,5.16,2.8,0.53,0.92,1.19,8.68,13.05,27.27%
34,402364_N,r-NaiveFL,2.03,4.69,5.27,6.43,5.14,2.87,0.53,0.95,1.18,9.11,12.43,36.36%
35,402364_N,NeighborFL,1.67,4.36,5.53,6.82,5.33,2.99,0.61,0.99,1.32,8.72,10.67,N/A
36,402365_S,Central,4.25,10.71,6.47,7.93,11.05,9.8,2.26,1.59,6.11,15.45,2.56,18.18%
37,402365_S,NaiveFL,8.31,19.72,18.86,22.96,19.87,23.71,5.99,5.83,5.92,18.52,4.43,90.91%
38,402365_S,r-NaiveFL,8.7,18.55,18.68,22.36,18.02,22.85,5.65,5.61,5.76,16.96,4.34,90.91%
39,402365_S,NeighborFL,7.64,14.48,15.18,23.02,17.52,20.22,4.92,4.72,5.2,14.5,2.63,N/A
40,401541_N,Central,3.55,2.76,4.26,10.26,8.36,9.0,11.41,4.24,2.55,23.39,10.98,63.64%
41,401541_N,NaiveFL,5.41,3.93,4.4,4.84,5.79,7.42,18.93,7.68,4.5,6.69,6.65,72.73%
42,401541_N,r-NaiveFL,5.48,3.15,4.44,4.92,5.91,7.9,15.02,7.53,4.09,6.88,6.53,81.82%
43,401541_N,NeighborFL,3.12,2.67,4.41,4.77,5.77,7.94,14.64,7.36,3.3,7.17,6.34,N/A
44,400971_S,Central,6.16,21.61,13.5,20.3,15.17,10.59,10.71,6.25,7.98,14.26,10.26,54.55%
45,400971_S,NaiveFL,6.83,15.07,11.39,14.69,17.63,18.22,18.76,5.84,14.63,13.36,11.69,90.91%
46,400971_S,r-NaiveFL,7.3,11.95,11.27,13.04,15.87,16.23,16.45,5.85,13.9,12.14,11.39,81.82%
