,central,naive_fl,radius_naive_fl,neighbor_fl
401816_S,6.81,2.69,2.98,3.14
401817_N,4.59,5.36,4.88,2.65
400911_N,10.56,6.81,7.47,5.31
400863_N,41.67,33.61,32.9,31.31
409526_N,4.29,3.76,3.47,6.55
409529_S,24.14,4.51,5.01,3.57
409525_N,8.03,7.43,7.41,7.08
409528_S,42.1,5.4,5.1,5.09
402364_N,5.18,6.03,5.79,5.0
402365_S,15.43,17.24,15.75,13.46
401541_N,6.4,4.58,4.35,4.3
400971_S,14.74,14.77,13.21,13.01
400122_N,22.8,7.78,6.69,5.73
404759_S,8.27,7.19,6.37,5.99
400394_S,5.52,13.14,10.68,8.6
404753_N,18.9,14.65,13.24,11.16
400045_N,5.99,5.66,5.35,5.47
400001_N,21.36,10.14,9.41,9.6
400922_S,7.08,6.56,5.42,4.96
400479_S,16.59,12.09,10.21,9.84
400030_S,13.93,15.67,15.09,11.69
401560_N,0.47,0.76,0.74,0.66
401440_S,9.37,4.39,4.03,3.67
400965_N,8.08,10.25,9.98,10.63
400109_S,12.19,2.02,1.27,1.94
400760_N,7.09,10.75,10.23,3.22
